"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.317,1.055,84,"S001","S1",0.317,0.317,"Positive",5,0
0.433,0.302,85,"S001","S1",0.319,0.319,"Negative",6,0
0.3,2.258,86,"S001","S1",0.319,0.319,"Positive",0,1
0.317,1.216,87,"S001","S1",0.319,0.319,"Positive",1,0
0.283,1.857,88,"S001","S1",0.318,0.318,"Positive",2,0
0.284,3.082,89,"S001","S1",0.318,0.318,"Positive",3,0
0.333,0.689,90,"S001","S1",0.318,0.318,"Negative",4,0
0.267,1.349,91,"S001","S1",0.317,0.317,"Positive",0,1
0.283,1.872,92,"S001","S1",0.317,0.317,"Positive",1,0
0.283,3.125,93,"S001","S1",0.317,0.317,"Positive",2,0
0.333,0.727,94,"S001","S1",0.317,0.317,"Negative",3,0
0.3,3.202,95,"S001","S1",0.317,0.317,"Positive",0,1
0.383,0.708,96,"S001","S1",0.317,0.317,"Negative",1,0
0.45,0.527,97,"S001","S1",0.319,0.319,"Negative",0,1
0.35,0.374,98,"S001","S1",0.319,0.319,"Negative",0,2
0.3,2.675,99,"S001","S1",0.319,0.319,"Positive",0,3
0.35,0.111,100,"S001","S1",0.319,0.319,"Negative",1,0
0.367,2.176,101,"S001","S1",0.32,0.32,"Negative",0,1
0.3,0.61,102,"S001","S1",0.319,0.319,"Positive",0,2
0.3,2.155,103,"S001","S1",0.319,0.319,"Positive",1,0
0.3,0.628,104,"S001","S1",0.319,0.319,"Positive",2,0
0.3,0.941,105,"S001","S1",0.319,0.319,"Positive",3,0
0.267,2.149,106,"S001","S1",0.318,0.318,"Positive",4,0
0.267,1.036,107,"S001","S1",0.318,0.318,"Positive",5,0
0.267,1.147,108,"S001","S1",0.317,0.317,"Positive",6,0
0.267,0.67,109,"S001","S1",0.317,0.317,"Positive",7,0
0.283,1.344,110,"S001","S1",0.317,0.317,"Positive",8,0
0.3,0.834,111,"S001","S1",0.317,0.317,"Positive",9,0
0.317,0.551,112,"S001","S1",0.317,0.317,"Positive",10,0
0.283,0.852,113,"S001","S1",0.316,0.316,"Positive",11,0
0.333,0.124,114,"S001","S1",0.316,0.316,"Negative",12,0
0.367,0.323,115,"S001","S1",0.317,0.317,"Negative",0,1
0.317,3.096,116,"S001","S1",0.317,0.317,"Positive",0,2
0.3,1.28,117,"S001","S1",0.317,0.317,"Positive",1,0
0.3,1.547,118,"S001","S1",0.317,0.317,"Positive",2,0
0.3,2.193,119,"S001","S1",0.316,0.316,"Positive",3,0
0.317,0.448,120,"S001","S1",0.316,0.316,"Negative",4,0
0.317,1.15,1,"S001","S2",NA,0.317,"Positive",0,0
0.3,0.557,2,"S001","S2",0.308,0.308,"Positive",1,0
0.3,3.454,3,"S001","S2",0.305,0.305,"Positive",2,0
0.284,3.417,4,"S001","S2",0.3,0.3,"Positive",3,0
0.3,0.368,5,"S001","S2",0.3,0.3,"Positive",4,0
0.4,0.498,6,"S001","S2",0.317,0.317,"Negative",5,0
0.3,1.577,7,"S001","S2",0.314,0.314,"Positive",0,1
0.283,2.665,8,"S001","S2",0.31,0.31,"Positive",1,0
0.283,1.668,9,"S001","S2",0.307,0.307,"Positive",2,0
0.267,2.776,10,"S001","S2",0.303,0.303,"Positive",3,0
0.283,1.41,11,"S001","S2",0.302,0.302,"Positive",4,0
0.267,3.065,12,"S001","S2",0.299,0.299,"Positive",5,0
0.3,3.457,13,"S001","S2",0.299,0.299,"Negative",6,0
0.283,2.563,14,"S001","S2",0.298,0.298,"Positive",0,1
0.3,2.98,15,"S001","S2",0.298,0.298,"Negative",1,0
0.283,2.275,16,"S001","S2",0.297,0.297,"Positive",0,1
0.35,0.774,17,"S001","S2",0.3,0.3,"Negative",1,0
0.3,3.15,18,"S001","S2",0.3,0.3,"Positive",0,1
0.333,0.538,19,"S001","S2",0.302,0.302,"Negative",1,0
0.283,3.482,20,"S001","S2",0.301,0.301,"Positive",0,1
0.3,1.803,21,"S001","S2",0.301,0.301,"Positive",1,0
0.3,1.928,22,"S001","S2",0.301,0.301,"Positive",2,0
0.317,1.156,23,"S001","S2",0.301,0.301,"Negative",3,0
0.333,1.408,24,"S001","S2",0.303,0.303,"Negative",0,1
0.317,2.551,25,"S001","S2",0.303,0.303,"Negative",0,2
0.284,2.986,26,"S001","S2",0.303,0.303,"Positive",0,3
0.316,0.71,27,"S001","S2",0.303,0.303,"Negative",1,0
0.317,1.109,28,"S001","S2",0.304,0.304,"Negative",0,1
0.267,2.701,29,"S001","S2",0.302,0.302,"Positive",0,2
0.283,1.993,30,"S001","S2",0.302,0.302,"Positive",1,0
0.317,2.47,31,"S001","S2",0.302,0.302,"Negative",2,0
0.333,0.794,32,"S001","S2",0.303,0.303,"Negative",0,1
0.366,0.317,33,"S001","S2",0.305,0.305,"Negative",0,2
0.317,0.25,34,"S001","S2",0.305,0.305,"Negative",0,3
0.3,0.2,35,"S001","S2",0.305,0.305,"Positive",0,4
0.333,1.104,36,"S001","S2",0.306,0.306,"Negative",1,0
0.333,0.123,37,"S001","S2",0.307,0.307,"Negative",0,1
0.317,2.229,38,"S001","S2",0.307,0.307,"Negative",0,2
0.267,2.307,39,"S001","S2",0.306,0.306,"Positive",0,3
0.367,0.204,40,"S001","S2",0.307,0.307,"Negative",1,0
0.3,2.865,41,"S001","S2",0.307,0.307,"Positive",0,1
0.267,2.825,42,"S001","S2",0.306,0.306,"Positive",1,0
0.317,3.167,43,"S001","S2",0.307,0.307,"Negative",2,0
